address,direction,size,entry_price,liquidation_price,position_value,unrealized_pnl,pnl_percent,margin_used,distance_to_liq_pct,risk_level,account_value,market_type
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,LONG,668.28442,102348.6,61589.7153656185,58140076.25558,-10257959.756067,-17.643526491044963,1453501.906389,29.21,LOW,18291547.180354,HyperCore
0x2669f508f456efae73c86d99d373f885c7b32b39,LONG,68.42061,88051.9,30980.5115578663,5959503.55161,-65061.391996,-1.0917250309956308,595950.355161,64.43,LOW,3955609.877041,HyperCore
0x6b78be2ba4d55d5ee434c7d47fb3bbaffafc5e9c,LONG,63.54364,86497.0,48784.1379636723,5528042.50544,31701.952264,0.5734751900478866,552804.250544,43.92,LOW,2534965.678984,HyperCore
0x8da6beaa2f002a511809101b24d181a324ae82d6,LONG,33.89191,85383.3,81861.0748531681,2949646.81921,55841.96108,1.8931744884276038,73741.17048,5.94,HIGH,209898.990051,HyperCore
0x280e93b4d5e7dc852332a41e93c3329052d40e8f,LONG,26.32246,95567.2,72933.8159526219,2290054.02,-225510.04327,-9.847367848117399,572513.505,16.17,LOW,394254.035103,HyperCore
0x69906b0ed626ca01a4b7c001e5711e5714ccf207,LONG,21.83984,92876.3,42330.7538098995,1901682.22816,-126722.916001,-6.663727205549614,47542.055704,51.39,LOW,1072560.243293,HyperCore
0x055b9a9cb7466591131c7bf9c89f12f5073437aa,LONG,10.94778,88238.4,66930.1294916482,951799.9932,-14214.667202,-1.4934510720271772,47589.99966,23.02,LOW,228222.864317,HyperCore
0xf53cab0c6f25f48f985d1e2c40e03fc7c1963364,LONG,9.02501,101079.6,7306.4342519681,784869.01966,-127376.126672,-16.22896604164329,19621.725491,91.6,LOW,766104.184981,HyperCore
0xa111a794cbc37ad60d155fbe3dcbd5b37be698ec,LONG,8.0,90868.6,82293.94698,696016.0,-30933.049561,-4.444301504706789,17400.4,5.41,HIGH,45893.818858,HyperCore
0x499882132a4f16905b3cb2e04e2ef0f7ad303e8f,LONG,5.0,84465.7,78151.5940113418,434285.0,11956.15651,2.7530668823468463,10857.125,10.02,MODERATE,48411.504569,HyperCore
0x9b422e571eb2cb9837efdc4f9087194d65fb070a,LONG,2.78528,89191.9,80886.6262077962,241990.69696,-6433.95037,-2.6587593865492702,6049.767424,6.9,HIGH,24758.756535,HyperCore
0xb2422b364cef9fe31fe788bbf7cd31a01304ca0c,LONG,2.02295,96602.7,30437.3970376011,175755.91895,-19666.70109,-11.189780240399692,87877.959475,64.97,LOW,114952.253267,HyperCore
0xb2485dd419530db036eb017d1c3f7c4f0c718fbd,LONG,2.0,108659.8,55182.9872298734,173656.0,-43663.67531,-25.143775803888147,4341.4,36.45,LOW,67428.779521,HyperCore
0xf7d170c6c72cf3a1e3a958565c7d7041ca578a9d,LONG,1.98562,86743.8,45892.6108915508,172603.98974,363.6161,0.2106649449689598,43150.997435,47.21,LOW,89636.031799,HyperCore
0x43a5d46352272f67e7b071984f9ff5ab25ba4429,LONG,1.06981,85911.2,43517.5211270805,93076.67943,1167.92715,1.254801049148257,47103.143644,49.98,LOW,49518.240872,HyperCore
0x5486afca53bece46842627c01699f288c7b4dfca,LONG,1.03172,86735.5,82008.3066016832,89717.33948,230.4938,0.256911095821541,6165.349519,5.69,HIGH,6283.396209,HyperCore
0xd25a100d719f024d183d8b49d25cabf668ac4a41,LONG,0.85844,87291.7,,74695.43972,-239.26406,-0.32031950129337833,1867.385993,,UNKNOWN,385119.039358,HyperCore
0x3edc0a6d1d1e9e7ffb83a4415963a25c4ee25821,LONG,0.65744,86774.0,66283.9069470843,57151.91664,103.21808,0.18060300698254936,2857.595832,23.75,LOW,17382.095068,HyperCore
0x8e2c81960e7e472b146b373b69e45847ce90ac5c,LONG,0.57509,90233.4,78032.5234077836,50052.38306,-1839.99515,-3.676138951854333,1251.309576,10.34,MODERATE,8725.120204,HyperCore
0x04aa3ce65a0bf7d74f7013aed54a491d411aa788,LONG,0.51833,87918.6,74626.7871477215,45116.47986,-454.412327,-1.007198097923591,1127.911996,14.26,MODERATE,9161.005274,HyperCore
0x4aa62d12aa68ad94ecf2cbe1c16a28a76989c7b0,LONG,0.5,85335.0,77178.4752749367,43446.5,779.0,1.7930097936542644,1086.1625,11.18,MODERATE,6504.328544,HyperCore
0x1188e4d6c751d79e27cbf38309803b998318a7e6,LONG,0.42678,87044.8,,37077.79284,-71.21799,-0.19207720995508965,3707.779284,,UNKNOWN,130048.748935,HyperCore
0x3fc6b63462dfa99aba339a403a6a17b8112affba,LONG,0.41501,113842.1,59615.9459741553,36090.92964,-11154.712176,-30.907245358504433,902.273241,31.45,LOW,11950.432284,HyperCore
0xa4fdcb928209e822ac816f42a42f33c54259ddbf,LONG,0.32442,113523.4,74216.7298212428,28218.37602,-8610.912905,-30.515267423245568,705.4594,14.67,MODERATE,4909.944595,HyperCore
0x5937d014d9295f920fb1dd259a9591eaea03a680,LONG,0.3143,95511.5,,27305.4411,-2713.83505,-9.938806848280507,1365.272055,,UNKNOWN,43399.07435,HyperCore
0x5881ab910c6888bf9d0ae420d242d6dc774456f4,LONG,0.31216,88101.0,24820.3678250037,27168.53344,-333.095769,-1.2260351473723126,679.213336,71.48,LOW,19517.456495,HyperCore
0x5d3a45a61e4bce6cfde85198ba358577685c27fe,LONG,0.2302,113084.3,80953.0358147566,19994.2512,-6037.760563,-30.197482779450123,499.85628,6.8,HIGH,2169.079987,HyperCore
0x9779e546e712f4b331f948a862ef621fdfcc4889,LONG,0.19082,87521.0,,16608.78198,-91.982491,-0.5538184022811767,830.439099,,UNKNOWN,23118.819814,HyperCore
0x0dc9f38cd1fd77e83ce35812dbb3ccf09fdf3e61,LONG,0.18681,86648.7,34990.8665068888,16253.59086,66.74601,0.41065393225974184,1625.359086,59.78,LOW,9798.655135,HyperCore
0x676751fe55f734245651fb781908befff96eed8f,LONG,0.18079,94501.7,39143.5636030614,15737.22713,-1347.745889,-8.564062003215176,524.574237,55.03,LOW,8812.402127,HyperCore
0xe2fe98b6e494105058bcb1f67bb19eea410b0968,LONG,0.15469,113070.2,65069.9825588294,13450.45019,-4040.386782,-30.03904497563884,336.261254,25.16,LOW,3671.946961,HyperCore
0xc837b80bb765986cb54a93aafb949c3da6962387,LONG,0.15429,96150.9,5468.8924670048,13404.25233,-1430.884,-10.674851269380722,670.212616,93.71,LOW,16483.087708,HyperCore
0xaa60b395517172d254774a9691034e69b61a1f2d,LONG,0.14873,86157.6,,12933.85826,119.630471,0.9249403278987224,646.692913,,UNKNOWN,176094.946762,HyperCore
0xe9004210c2d7b35ff87d4c13c2d53b88667ca5aa,LONG,0.13471,100932.1,69613.7466305961,11725.02369,-1871.541919,-15.961945736588955,293.125592,20.02,LOW,2662.596939,HyperCore
0xd41d7f09b0a244acaabcf5b249ca97c896f7b51b,LONG,0.1,86308.6,82602.3227848101,8688.3,57.43328,0.6610416306987559,217.2075,4.93,HIGH,593.754625,HyperCore
0xc46d0c03fd977bac41f140f47156eefada676e34,LONG,0.09755,114884.0,64030.2472033167,8490.45935,-2716.47485,-31.994439146569853,2122.614837,26.43,LOW,2322.385618,HyperCore
0x3a5d12c3ea5708072f7692b23ac786583b8b9f92,LONG,0.09679,100512.1,70638.2774033828,8428.18283,-1300.390909,-15.429078073286174,210.70457,18.88,LOW,2123.744488,HyperCore
0xb9791072e114be27e60b585392a851c1bb37bd3b,LONG,0.08348,85068.3,84016.0139622619,7258.50252,156.99687,2.162937459447214,181.462563,3.37,HIGH,332.516385,HyperCore
0xbf70a5793c451b730c0829fde942bb98f3cf530f,LONG,0.08151,98188.0,39361.5520593109,7089.41376,-913.89519,-12.890983950695523,177.235344,54.74,LOW,3926.140328,HyperCore
0xed0eb4f29fe044a17b791d13a3ed596fa008df3e,LONG,0.08149,92158.1,39951.2582704098,7085.5555,-424.413433,-5.989839935626782,177.138887,54.05,LOW,4346.811939,HyperCore
0x0c7c327b36f2d1cc1734fc8981b78f2bc9ed9f07,LONG,0.06199,86485.0,79147.2857075763,5388.1708,26.96565,0.5004601932811781,134.70427,8.94,MODERATE,625.032712,HyperCore
0x2acc5bb909889ee1505dcc8c9d8722c4b5192409,LONG,0.054,85941.6,83968.7268823254,4699.728,58.878,1.252795906486503,130.548,3.52,HIGH,222.095639,HyperCore
0xe9d99ad2c042c92056a3e12864318a97d14e34e4,LONG,0.05175,105608.2,79326.5397566196,4500.801,-964.428,-21.42791916372219,225.04005,8.79,MODERATE,446.966923,HyperCore
0xa5cacb573efbc201807698e87803fbfeddc4361a,LONG,0.05,107966.2,63343.3963949367,4344.75,-1053.563117,-24.249107934863915,108.61875,27.1,LOW,1416.462722,HyperCore
0x5b314be527d36fc879110cbc28057928d9fa01a5,LONG,0.03812,91799.2,79771.3165885213,3314.03844,-185.3503,-5.592883225579001,82.850961,8.24,MODERATE,343.935284,HyperCore
0xe80785a1cb7524d77aa5a7523f330cfbfdaae30d,LONG,0.02817,83980.0,74773.6259509398,2457.18459,91.46747,3.7224500907357556,61.429614,14.28,MODERATE,377.14121,HyperCore
0x24f58755b205bf07d20afafc563627a38d55d8ef,LONG,0.02732,112599.1,,2373.09716,-703.11249,-29.628474630174857,791.032386,,UNKNOWN,4730.910289,HyperCore
0x346722792695d7ebf7a3d895afa33eb772ec855d,LONG,0.02692,87274.7,73125.1878796998,2341.07088,-8.365644,-0.35734261920339633,58.526772,15.91,LOW,439.13306,HyperCore
0x557b5d4495ddb0b9ce6329b29b4da05a7df4bfb0,LONG,0.025,91179.2,54925.0391088608,2173.975,-105.505197,-4.853100748628664,54.349375,36.84,LOW,1117.841574,HyperCore
0x942400ad22a74d42f823899bb42493c536c3f856,LONG,0.025,91376.3,,2173.6,-110.808865,-5.097941893632683,54.34,,UNKNOWN,4128.526049,HyperCore
0xc1c4a78ffe8865ea759731dd2a40360d063dab7f,LONG,0.02415,113871.3,76601.8123018057,2101.6779,-648.31471,-30.8474819095733,52.541947,11.98,MODERATE,318.41099,HyperCore
