Name,Address,Category,Win Rate,Win,Loss,Total Profit
Neet,0x4Cb5f4d145cd16460932bBb9B871bB6Fd5dB97E3,"New, Consistent Winner, Winning Streak",48.8,158,166,
Shadow Wallaby,0x469E9A7f624b04C24f0E64EDF8d8a277e6bf58A5,"Veteran, Heavy Drawdown, Winning Streak, Bad KOL",70.7,281,115,"434,905"
Diamond Eel,0x3C363e96D22C056d748F199Fb728Fc80d70e461a,"New, Consistent Winner, Whale",83.7,103,20,
Mega Wombat,0x833b99b27dAC651d02080F5e220e929Df891dB06,"New, Consistent",71.8,,,
Mighty Wildcat,0x5AaDB434293B4E1B8Fb2e84007e567506fe65a96,New,,,,
CryptoNexus,0xadD12ADBbD5Db87674b38Af99b6dD34Dd2A45e0d,Twitter KOL,49.8,357,394,"843,123"
CLCat,0xcb58B8f5EC6D47985f0728465C25a08EF9Ad2C7B,Twitter KOL,44.2,301,409,"974,281"
Loracle,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,Twitter KOL,,,,
Sifu,0xF967239DeBeF10DbC78E9Bbbb2d8A16B72a614eb,"Bad KOL, Heavy Drawdown, Negative Pnl",46.9,353,361,
MachiBigBrother,0x020cA66C30beC2c4Fe3861a94E4DB4A498A35872,"Bad KOL, Negative Pnl",,,,
Venom Gibbon,0x9e8b1e51c642f4C8b87c6BA11c53D516a218Afc4,God Tier,39.9,144,244,13844000
Nitro Antelope,0x015354106478Dda69C4aAe3C0Cf801290b738052,God Tier,53.2,14,6,7450000
Charged Macaque,0xBFc79C444c41A74516bF31237eBF586a231480b4,"Veteran, Heavy Drawdown, Winning Streak",59,,,
Wild Tamarin,0xadEd86bF6e6fd72F78DCa132aF112FA36230809E,Whale,,,,
Crystal Mole,0xFce053a5e461683454bF37Ad66d20344c0e3F4C0,"Veteran, God Tier, Heavy Drawdown, Consistent",85.4,,,
Silent Viper,0x0748e296e5a350Ec36C8487a1Cea406e1B57d4b2,"Veteran, Winning Streak, Heavy Drawdown",52.1,159,146,
Cosmic Venom,0x8bAe3527E5a33fA0cf184f37Bc112D071463aB6d,"Whale, Winning Streak, Consistent Winner ",61.7,36,24,
Swift Wasp,0xbAAaF6571ab7d571043Ff1E313a9609A10637864,"Veteran,Whale, Winning Streak, Consistent Winner ",89.2,126,60,
Ghost Ocelot,0xfD97600ac44B3C4e20aC1a5f23e3b18d10fa5912,"Winning Streak, Whale, God Tier",100,98,0,
Phantom Yak,0x9c2a2a966Ed8E47f0c8B7E2Ec2B91424F229F6a8,"Consistent Winner, Winning Streak",68.1,873,463,
Cool Komodo,0x2D99FE0F36C1AEBD28a1a2C0E82E8Ca13C2EA351,"Winning Streak, Whale, God Tier",75.7,27,10,
Midnight Gator,0xdBD1bac81ad581C7198C9D155cA468F32a0C29DD,Heavy Drawdown,42.9,6,8,
Crystal Tasmanian,0xa4deddA59F2908b92AE192cfD494839373bCB3C4,"Veteran, Consistent Winner, Winning Streak",39.5,153,223,
RTB2,0xFB941d2344b72ea9101400392b818173772d0DDF,Veteran,52.9,18,16,
Cool Russell,0x3BcAE23e8c380Dab4732e9A159c0456F12d866F3,"Veteran, Consistent Winner, Winning Streak, Whale, Heavy Drawdown",65.6,3097,1568,
"Blazing Specter
",0xF00bB08F7D1d04A9415408C939c02410fc6791B1,"Veteran, Winning Streak",70.9,163,74,
Nitro Hawk,0xD6E1a6f7bb47ACA69aaA511210227d40926ff256,"Heavy Drawdown, Veteran",44.8,753,533,
"Alpha Pelican

",0x8bCF7a888C66f635Ac4A2CAf42A8Dd12A3b20B14,"Consistent Winner, Winning Streak",56,467,399,
Blood Trout,0xb919448d2F1797E5D9E7b9e88cD909A5089E6d4E,"Veteran, Consistent Winner, Heavy Drawdown",62,268,150,
"u guys r rly dum

",0x987163B6b482C30c2F5f3aa2760109668Eb0091d,"Veteran, Consistent Winner, Heavy Drawdown",57.8,510,322,
Growi HF,0x1e37a337Ed460039D1B15Bd3bC489DE789768D5e," Veteran,Consistent Winner, Heavy Drawdown",54.1,969,380,
Elsewhere,0x8fC7c0442e582bca195978C5a4FDeC2e7C5bB0f7,"Veteran, Heavy Drawdown, Winning Streak",62.9,505,289,
Shadow Zebra,0x7f55Bd494bed4b4eED2064ECCC1aF75e9d76aD4b,New,52,12,13,
Elite Tamarin,0x4F2b5981D89A1C60Bc73eA23edef2797447B3C17,"Heavy Drawdown, Veteran, Winning Streak",58.3,147,95,
Prime Alpaca,0x1E771e1b95c86491299D6E2A5C3b3842D03b552E,"Veteran, Consistent Winner, Heavy Drawdown",66.7,57,30,
Hyper Giraffe,0xE867fbDAD3291530E41530301EcB77693850C78e,"Veteran, Winning Streak, Whale",69.5,236,108,
lofi.eth,0x3c37DC9b5D4c60d404EC834987C106510d03442F,"Consistent Winner, Winning Streak",81.5,361,81,
Icy9999,0x8434b7844Fd17fAD52f0aCEae50a834Cd4896577,"Consistent Winner, Winning Streak",71.5,196,70,
Flame Pony,0xe0665019FcF5fFa4A5aEa5CF65F84016fCbE78Da,"Whale, Consistent Winner",79.8,214,58,"5,736,871"
Wild Wildcat,0x7E09dfbbA23d078e16F038b1ED4c558185c4be1E,"Veteran, Winning Streak, Consistent Winner, God Tier",72.7,96,35,"91,671"
Cyber Chimp,0xB854F7F40f0f3E1801Fb6d8828B6f6Dd97eBF33b,"Consistent Winner, Winning Streak",71.1,720,320,"103,251"
Swift Whale,0x049345fce8AD9095a2DeC41059CfB50E9BA0bBDE,"Veteran, Winning Streak",62.8,1651,982,"114,316"
Midnight Jaguar,0x0aF66f3571761D7196B713fF881609D7e7456Fe1,Winning Streak,52.6,200,186,141391
69 Jump Street,0xA844d7ac9FA3424C4Fd38A25baa23e460Ec3E802,"Veteran, Winning Streak",58.9,330,247,"142,994"
Steel Mastiff,0x8e2e546506c1f97220AA9c557aF7cc0Fff9896E2,"Veteran, Winning Streak",97.5,195,7,147316
Steel Venom,0x3979BDF742Ce46C9dCd570c70d2D6e88B87dF0E9,"Consistent Winner, Winning Streak",54.8,829,682,"160,213"
Flash Ibis,0xaE2445CDC416b6A70bbF84a8678a13EA6003E7f8,"Consistent Winner, Winning Streak",55,690,630,"161,037"
Turbo Dalmatian,0xeb83E695adCac2e83f290d2d2815FC58e6491d7A,Winning Streak,61.7,183,116,"176,036"
Nitro Gerbil,0x491251909171d4b9B39C5Bc5d70515292e21Eaf0,"Veteran, Winning Streak",59.9,106,85,"191,255"
jack silver,0xa44898949336804325763810E731f7Aabf768250,"Veteran, Winning Streak",72.8,91,33,"196,750"
Hyperdash Vault #1,0x4078582C42fdb547B1397FaBB5D5A4beAB81bE9E,Vault,47.0,992,1084,"215,140"
Stealth Rooste,0xd474209f12d153CB907B1a00BcDF7b20dbc0bd39,"Consistent Winner, Winning Streak",52.9,1638,1727,"264,108"
ChinaToxicFlow2,0x2C229d22B100a7BeB69122eeD721CEE9B24011dd,"Veteran, Winning Streak",68.4,117,57,"268,270"
ChinaToxicFlow1,0xB552648f037B4C60bA9c237bb503735aed0dB94E,"Veteran, Winning Streak",57.4,171,141,"520,550"
Blood Crab,0x98dad31dE2bcc79d169E72D191F753E5c708252f,"Veteran, Winning Streak, Whale",44.6,339,471,"477,622"
Bold Wildcat,0xd47776750BF095AE3F0461e06CE312c2e6026e7E,"Consistent Winner, Winning Streak, God Tier",56.6,3161,2168,"435,266"
Delta_01,0x3005Fade4c0dF5e1cD187D7062da359416F0Eb8E,Veteran,36.1,26,46,"382,013"
justanotherinterlude,0xd8b07BC1bC3bAe553BCA5E94E99935dC12Df24Ff,"Heavy Drawdown, Negative Pnl",67.6,1300,593,"-2,959,778"
Nova Raptor,0x8f8D2D2565bFB10608a7Ce64b48E2Aea7875a344,"Veteran, Negative Pnl",70,182,81,"-1,011,512"
gaspedal,0xFF9152cce6fbd30988B1aEf70DF6F086c99E2C55,"Veteran, Negative Pnl",76,349,123,"-976,155"
Cool Cobra,0x329C787B163a730BD7900DF2BEb3Ff4fe4670375,"Consistent Winner, Winning Streak, God Tier",50.3,171,165,24129
Fierce Cicada,0xCCf135Ab352D561a15Eb7BE2A243Cc4Fcb7f0aB1,"Veteran, Whale",54.5,36,26,"757,640"
Ghost Koala,0xCeeC48581B3145a575508719f45da07dc57fA7ce,"Negative Pnl, Veteran, Heavy Drawdown",52.7,68,60,"-3,923,073"
Blazing Stag,0xEa6670EbdB4a388A8CFc16f6497Bf4f267B061EE,"Whale, Negative Pnl",60,6,4,"-2,905,039"
Ghost Duck,0x1e82e222564293e3507c2966b27f587EE2570671,"Veteran, Negative Pnl",65.9,58,30,"-7,728"
Electric Pony,0xC86DDE53FfA0CCBff8adb0529E0304b0dE1B0E8f,"Negative Pnl, Veteran",53.2,71,68,"-64,634"
